Comments,Surrounding Code Context,Class,Predicted Class
/*Send the LOGOUT command*/,"-2. static CURLcode imap_perform_logout(struct Curl_easy *data)
-1. {

/*Send the LOGOUT command*/

1.   CURLcode result = imap_sendf(data, ""LOGOUT"");
2.   if(!result)
3.     state(data, IMAP_LOGOUT);
4.   return result;
5. }",Not Useful,1
/*no use for this yet*/,"-5. static CURLcode imap_state_servergreet_resp(struct Curl_easy *data,
-4.                                             int imapcode,
-3.                                             imapstate instate)
-2. {
-1.   struct connectdata *conn = data->conn;

/*no use for this yet*/

1.   if(imapcode == IMAP_RESP_PREAUTH) {",Not Useful,1
/*PREAUTH*/,"-5.   PROTOPT_URLOPTIONS
-4. };
-3. #endif
-2. #define IMAP_RESP_OK       1
-1. #define IMAP_RESP_NOT_OK   2
#define IMAP_RESP_PREAUTH  3

/*PREAUTH*/

111",Not Useful,1
/*For CAPABILITY responses*/,"-10.     struct imap_conn *imapc = &conn->proto.imapc;
-9.     imapc->preauth = TRUE;
-8.     infof(data, ""PREAUTH connection, already authenticated"");
-7.   }
-6.   else if(imapcode != IMAP_RESP_OK) {
-5.     failf(data, ""Got unexpected imap-server response"");
-4.     return CURLE_WEIRD_SERVER_REPLY;
-3.   }
-2.   return imap_perform_capability(data, conn);
-1. }

/*For CAPABILITY responses*/

1. static CURLcode imap_state_capability_resp(struct Curl_easy *data,
2.                                            int imapcode,
3.                                            imapstate instate)
4. {
5.   CURLcode result = CURLE_OK;
6.   struct connectdata *conn = data->conn;
7.   struct imap_conn *imapc = &conn->proto.imapc;
8.   const char *line = data->state.buffer;",Not Useful,1
/*no use for this yet*/,"-5. static CURLcode imap_state_servergreet_resp(struct Curl_easy *data,
-4.                                             int imapcode,
-3.                                             imapstate instate)
-2. {
-1.   struct connectdata *conn = data->conn;

/*no use for this yet*/

1.   if(imapcode == IMAP_RESP_PREAUTH) {",Not Useful,1
/*Loop through the data line*/,"-2.   if(imapcode == '*') {
-1.     line += 2;

/*Loop through the data line*/

1.     for(;;) {
2.       size_t wordlen;
3.       while(*line &&
4.             (*line == ' ' || *line == '\t' ||
5.               *line == '\r' || *line == '\n')) {
6.         line++;
7.       }
8.       if(!*line)
9.         break;",Not Useful,0
/*For STARTTLS responses*/,"-10.       result = imap_perform_authentication(data, conn);
-9.     else {
-8.       failf(data, ""STARTTLS not available."");
-7.       result = CURLE_USE_SSL_FAILED;
-6.     }
-5.   }
-4.   else
-3.     result = imap_perform_authentication(data, conn);
-2.   return result;
-1. }

/*For STARTTLS responses*/

1. static CURLcode imap_state_starttls_resp(struct Curl_easy *data,
2.                                          int imapcode,
3.                                          imapstate instate)
4. {
5.   CURLcode result = CURLE_OK;
6.   struct connectdata *conn = data->conn;",Not Useful,0
/*no use for this yet*/,"-5. static CURLcode imap_state_servergreet_resp(struct Curl_easy *data,
-4.                                             int imapcode,
-3.                                             imapstate instate)
-2. {
-1.   struct connectdata *conn = data->conn;

/*no use for this yet*/

1.   if(imapcode == IMAP_RESP_PREAUTH) {",Not Useful,1
/*no use for this yet*/,"-5. static CURLcode imap_state_servergreet_resp(struct Curl_easy *data,
-4.                                             int imapcode,
-3.                                             imapstate instate)
-2. {
-1.   struct connectdata *conn = data->conn;

/*no use for this yet*/

1.   if(imapcode == IMAP_RESP_PREAUTH) {",Not Useful,0
/*Perform clear text authentication*/,"-5.   result = Curl_sasl_start(&imapc->sasl, data, imapc->ir_supported, &progress);
-4.   if(!result) {
-3.     if(progress == SASL_INPROGRESS)
-2.       state(data, IMAP_AUTHENTICATE);
-1.     else if(!imapc->login_disabled && (imapc->preftype & IMAP_TYPE_CLEARTEXT))

/*Perform clear text authentication*/

1.       result = imap_perform_login(data, conn);
2.     else {",Not Useful,1
/*For LOGIN responses*/,"-10.       else {
-9.         failf(data, ""Authentication cancelled"");
-8.         result = CURLE_LOGIN_DENIED;
-7.       }
-6.       break;
-5.     default:
-4.       break;
-3.     }
-2.   return result;
-1. }

/*For LOGIN responses*/

1. static CURLcode imap_state_login_resp(struct Curl_easy *data,
2.                                       int imapcode,
3.                                       imapstate instate)
4. {
5.   CURLcode result = CURLE_OK;",Not Useful,1
/*no use for this yet*/,"-5. static CURLcode imap_state_servergreet_resp(struct Curl_easy *data,
-4.                                             int imapcode,
-3.                                             imapstate instate)
-2. {
-1.   struct connectdata *conn = data->conn;

/*no use for this yet*/

1.   if(imapcode == IMAP_RESP_PREAUTH) {",Not Useful,1
/*For LIST and SEARCH responses*/,"-3.     state(data, IMAP_STOP);
-2.   return result;
-1. }

/*For LIST and SEARCH responses*/

1. static CURLcode imap_state_listsearch_resp(struct Curl_easy *data,
2.                                            int imapcode,
3.                                            imapstate instate)
4. {
5.   CURLcode result = CURLE_OK;
6.   char *line = data->state.buffer;
7.   size_t len = strlen(line);",Not Useful,1
/*No use for this yet*/,"-7. static CURLcode imap_state_listsearch_resp(struct Curl_easy *data,
-6.                                            int imapcode,
-5.                                            imapstate instate)
-4. {
-3.   CURLcode result = CURLE_OK;
-2.   char *line = data->state.buffer;
-1.   size_t len = strlen(line);

/*No use for this yet*/

1.   if(imapcode == '*') {",Not Useful,1
/*For SELECT responses*/,"-3.     state(data, IMAP_STOP);
-2.   return result;
-1. }

/*For SELECT responses*/

1. static CURLcode imap_state_select_resp(struct Curl_easy *data, int imapcode,
2.                                        imapstate instate)
3. {
4.   CURLcode result = CURLE_OK;
5.   struct connectdata *conn = data->conn;
6.   struct IMAP *imap = data->req.p.imap;
7.   struct imap_conn *imapc = &conn->proto.imapc;
8.   const char *line = data->state.buffer;",Not Useful,1
/*no use for this yet*/,"-5. static CURLcode imap_state_servergreet_resp(struct Curl_easy *data,
-4.                                             int imapcode,
-3.                                             imapstate instate)
-2. {
-1.   struct connectdata *conn = data->conn;

/*no use for this yet*/

1.   if(imapcode == IMAP_RESP_PREAUTH) {",Not Useful,1
/*Note the currently opened mailbox on this connection*/,"-6.     if(imap->uidvalidity && imapc->mailbox_uidvalidity &&
-5.        !strcasecompare(imap->uidvalidity, imapc->mailbox_uidvalidity)) {
-4.       failf(data, ""Mailbox UIDVALIDITY has changed"");
-3.       result = CURLE_REMOTE_FILE_NOT_FOUND;
-2.     }
-1.     else {

/*Note the currently opened mailbox on this connection*/

1.       imapc->mailbox = strdup(imap->mailbox);
2.       if(imap->custom)
3.         result = imap_perform_list(data);
4.       else if(imap->query)
5.         result = imap_perform_search(data);
6.       else
7.         result = imap_perform_fetch(data);
8.     }
9.   }
10.   else {",Not Useful,1
/*For the (first line of the) FETCH responses*/,"-10.       else
-9.         result = imap_perform_fetch(data);
-8.     }
-7.   }
-6.   else {
-5.     failf(data, ""Select failed"");
-4.     result = CURLE_LOGIN_DENIED;
-3.   }
-2.   return result;
-1. }

/*For the (first line of the) FETCH responses*/

1. static CURLcode imap_state_fetch_resp(struct Curl_easy *data,
2.                                       struct connectdata *conn, int imapcode,
3.                                       imapstate instate)
4. {
5.   CURLcode result = CURLE_OK;
6.   struct imap_conn *imapc = &conn->proto.imapc;
7.   struct pingpong *pp = &imapc->pp;
8.   const char *ptr = data->state.buffer;
9.   bool parsed = FALSE;
10.   curl_off_t size = 0;",Not Useful,1
/*no use for this yet*/,"-5. static CURLcode imap_state_servergreet_resp(struct Curl_easy *data,
-4.                                             int imapcode,
-3.                                             imapstate instate)
-2. {
-1.   struct connectdata *conn = data->conn;

/*no use for this yet*/

1.   if(imapcode == IMAP_RESP_PREAUTH) {",Not Useful,1
/*The conversion from curl_off_t to size_t is always fine here*/,"-2.       size_t chunk = pp->cache_size;
-1.       if(chunk > (size_t)size)

/*The conversion from curl_off_t to size_t is always fine here*/

1.         chunk = (size_t)size;
2.       if(!chunk) {",Not Useful,1
/*Have we used the entire cache or just part of it?*/,"-9.         state(data, IMAP_STOP);
-8.         return CURLE_OK;
-7.       }
-6.       result = Curl_client_write(data, CLIENTWRITE_BODY, pp->cache, chunk);
-5.       if(result)
-4.         return result;
-3.       data->req.bytecount += chunk;
-2.       infof(data, ""Written %zu bytes, %"" CURL_FORMAT_CURL_OFF_TU
-1.             "" bytes are left for transfer"", chunk, size - chunk);

/*Have we used the entire cache or just part of it?*/

1.       if(pp->cache_size > chunk) {",Not Useful,1
/*Only part of it so shrink the cache to fit the trailing data*/,"-1.       if(pp->cache_size > chunk) {

/*Only part of it so shrink the cache to fit the trailing data*/

1.         memmove(pp->cache, pp->cache + chunk, pp->cache_size - chunk);
2.         pp->cache_size -= chunk;
3.       }
4.       else {",Not Useful,0
/*Free the cache*/,"-4.         memmove(pp->cache, pp->cache + chunk, pp->cache_size - chunk);
-3.         pp->cache_size -= chunk;
-2.       }
-1.       else {

/*Free the cache*/

1.         Curl_safefree(pp->cache);",Not Useful,1
/*Reset the cache size*/,"-1.         Curl_safefree(pp->cache);

/*Reset the cache size*/

1.         pp->cache_size = 0;
2.       }
3.     }
4.     if(data->req.bytecount == size)",Not Useful,1
/*For final FETCH responses performed after the download*/,"-3.   state(data, IMAP_STOP);
-2.   return result;
-1. }

/*For final FETCH responses performed after the download*/

1. static CURLcode imap_state_fetch_final_resp(struct Curl_easy *data,
2.                                             int imapcode,
3.                                             imapstate instate)
4. {
5.   CURLcode result = CURLE_OK;",Not Useful,1
/*No use for this yet*/,"-7. static CURLcode imap_state_listsearch_resp(struct Curl_easy *data,
-6.                                            int imapcode,
-5.                                            imapstate instate)
-4. {
-3.   CURLcode result = CURLE_OK;
-2.   char *line = data->state.buffer;
-1.   size_t len = strlen(line);

/*No use for this yet*/

1.   if(imapcode == '*') {",Not Useful,1
/*For APPEND responses*/,"-3.     state(data, IMAP_STOP);
-2.   return result;
-1. }

/*For APPEND responses*/

1. static CURLcode imap_state_append_resp(struct Curl_easy *data, int imapcode,
2.                                        imapstate instate)
3. {
4.   CURLcode result = CURLE_OK;",Not Useful,0
/*No use for this yet*/,"-7. static CURLcode imap_state_listsearch_resp(struct Curl_easy *data,
-6.                                            int imapcode,
-5.                                            imapstate instate)
-4. {
-3.   CURLcode result = CURLE_OK;
-2.   char *line = data->state.buffer;
-1.   size_t len = strlen(line);

/*No use for this yet*/

1.   if(imapcode == '*') {",Not Useful,0
/*For final APPEND responses performed after the upload*/,"-4.     state(data, IMAP_STOP);
-3.   }
-2.   return result;
-1. }

/*For final APPEND responses performed after the upload*/

1. static CURLcode imap_state_append_final_resp(struct Curl_easy *data,
2.                                              int imapcode,
3.                                              imapstate instate)
4. {
5.   CURLcode result = CURLE_OK;",Not Useful,1
/*No use for this yet*/,"-7. static CURLcode imap_state_listsearch_resp(struct Curl_easy *data,
-6.                                            int imapcode,
-5.                                            imapstate instate)
-4. {
-3.   CURLcode result = CURLE_OK;
-2.   char *line = data->state.buffer;
-1.   size_t len = strlen(line);

/*No use for this yet*/

1.   if(imapcode == '*') {",Not Useful,1
/*Flush any data that needs to be sent*/,"-2.   if(imapc->state == IMAP_UPGRADETLS)
-1.     return imap_perform_upgrade_tls(data, conn);

/*Flush any data that needs to be sent*/

1.   if(pp->sendleft)
2.     return Curl_pp_flushsend(data, pp);
3.   do {",Not Useful,1
"/*Allocate and initialize the struct IMAP for the current Curl_easy if
   required*/","-10. static CURLcode imap_block_statemach(struct Curl_easy *data,
-9.                                      struct connectdata *conn,
-8.                                      bool disconnecting)
-7. {
-6.   CURLcode result = CURLE_OK;
-5.   struct imap_conn *imapc = &conn->proto.imapc;
-4.   while(imapc->state != IMAP_STOP && !result)
-3.     result = Curl_pp_statemach(data, &imapc->pp, TRUE, disconnecting);
-2.   return result;
-1. }

/*Allocate and initialize the struct IMAP for the current Curl_easy if
   required*/

1. static CURLcode imap_init(struct Curl_easy *data)
2. {
3.   CURLcode result = CURLE_OK;
4.   struct IMAP *imap;
5.   imap = data->req.p.imap = calloc(sizeof(struct IMAP), 1);
6.   if(!imap)
7.     result = CURLE_OUT_OF_MEMORY;
8.   return result;
9. }",Not Useful,1
/*default to not done yet*/,"-10.  *
-9.  * The variable 'done' points to will be TRUE if the protocol-layer connect
-8.  * phase is done when this function returns, or FALSE if not.
-7.  */
-6. static CURLcode imap_connect(struct Curl_easy *data, bool *done)
-5. {
-4.   CURLcode result = CURLE_OK;
-3.   struct connectdata *conn = data->conn;
-2.   struct imap_conn *imapc = &conn->proto.imapc;
-1.   struct pingpong *pp = &imapc->pp;

/*default to not done yet*/

111",Not Useful,1
/*Parse the URL options*/,"-2.   Curl_pp_setup(pp);
-1.   Curl_pp_init(data, pp);

/*Parse the URL options*/

1.   result = imap_parse_url_options(conn);
2.   if(result)
3.     return result;",Not Useful,1
/*Clear the transfer mode for the next request*/,"-9.   Curl_safefree(imap->mailbox);
-8.   Curl_safefree(imap->uidvalidity);
-7.   Curl_safefree(imap->uid);
-6.   Curl_safefree(imap->mindex);
-5.   Curl_safefree(imap->section);
-4.   Curl_safefree(imap->partial);
-3.   Curl_safefree(imap->query);
-2.   Curl_safefree(imap->custom);
-1.   Curl_safefree(imap->custom_params);

/*Clear the transfer mode for the next request*/

1.   imap->transfer = PPTRANSFER_BODY;
2.   return result;
3. }",Not Useful,1
/*This is IMAP and no proxy*/,"-3. static CURLcode imap_perform(struct Curl_easy *data, bool *connected,
-2.                              bool *dophase_done)
-1. {

/*This is IMAP and no proxy*/

1.   CURLcode result = CURLE_OK;
2.   struct connectdata *conn = data->conn;
3.   struct IMAP *imap = data->req.p.imap;
4.   struct imap_conn *imapc = &conn->proto.imapc;
5.   bool selected = FALSE;
6.   DEBUGF(infof(data, ""DO phase starts""));
7.   if(data->set.opt_no_body) {",Not Useful,1
/*Requested no body means no transfer*/,"-7.   CURLcode result = CURLE_OK;
-6.   struct connectdata *conn = data->conn;
-5.   struct IMAP *imap = data->req.p.imap;
-4.   struct imap_conn *imapc = &conn->proto.imapc;
-3.   bool selected = FALSE;
-2.   DEBUGF(infof(data, ""DO phase starts""));
-1.   if(data->set.opt_no_body) {

/*Requested no body means no transfer*/

1.     imap->transfer = PPTRANSFER_INFO;
2.   }",Not Useful,1
"/*Determine if the requested mailbox (with the same UIDVALIDITY if set)
     has already been selected on this connection*/","-3.     imap->transfer = PPTRANSFER_INFO;
-2.   }

/*Determine if the requested mailbox (with the same UIDVALIDITY if set)
     has already been selected on this connection*/

1.   if(imap->mailbox && imapc->mailbox &&
2.      strcasecompare(imap->mailbox, imapc->mailbox) &&
3.      (!imap->uidvalidity || !imapc->mailbox_uidvalidity ||
4.       strcasecompare(imap->uidvalidity, imapc->mailbox_uidvalidity)))
5.     selected = TRUE;",Not Useful,1
/*LIST*/,"-4.       case IMAP_CAPABILITY:
-3.         if(!imap_matchresp(line, len, ""CAPABILITY""))
-2.           return FALSE;
-1.         break;
      case IMAP_LIST:

/*LIST*/

1.         if((!imap->custom && !imap_matchresp(line, len, ""LIST"")) ||
2.           (imap->custom && !imap_matchresp(line, len, imap->custom) &&
3.            (!strcasecompare(imap->custom, ""STORE"") ||
4.             !imap_matchresp(line, len, ""FETCH"")) &&
5.            !strcasecompare(imap->custom, ""SELECT"") &&
6.            !strcasecompare(imap->custom, ""EXAMINE"") &&
7.            !strcasecompare(imap->custom, ""SEARCH"") &&
8.            !strcasecompare(imap->custom, ""EXPUNGE"") &&
9.            !strcasecompare(imap->custom, ""LSUB"") &&
10.            !strcasecompare(imap->custom, ""UID"") &&",Not Useful,1
/*Parse the URL path*/,"-10.  *
-9.  * This function is registered as 'curl_do' function. It decodes the path
-8.  * parts etc as a wrapper to the actual DO function (imap_perform).
-7.  *
-6.  * The input argument is already checked for validity.
-5.  */
-4. static CURLcode imap_do(struct Curl_easy *data, bool *done)
-3. {
-2.   CURLcode result = CURLE_OK;

/*Parse the URL path*/

1.   result = imap_parse_url_path(data);
2.   if(result)
3.     return result;",Not Useful,1
/*Parse the custom request*/,"-3.   result = imap_parse_url_path(data);
-2.   if(result)
-1.     return result;

/*Parse the custom request*/

1.   result = imap_parse_custom_request(data);
2.   if(result)
3.     return result;
4.   result = imap_regular_transfer(data, done);
5.   return result;
6. }
7. /***********************************************************************
8.  *
9.  * imap_disconnect()
10.  *",Not Useful,1
"/***********************************************************************
 *
 * imap_disconnect()
 *
 * Disconnect from an IMAP server. Cleanup protocol-specific per-connection
 * resources. BLOCKING.*/","-6.   result = imap_parse_custom_request(data);
-5.   if(result)
-4.     return result;
-3.   result = imap_regular_transfer(data, done);
-2.   return result;
-1. }
/***********************************************************************
 *
 * imap_disconnect()
 *
 * Disconnect from an IMAP server. Cleanup protocol-specific per-connection
 * resources. BLOCKING.

/***********************************************************************
 *
 * imap_disconnect()
 *
 * Disconnect from an IMAP server. Cleanup protocol-specific per-connection
 * resources. BLOCKING.*/

1.  */
2. static CURLcode imap_disconnect(struct Curl_easy *data,
3.                                 struct connectdata *conn, bool dead_connection)
4. {
5.   struct imap_conn *imapc = &conn->proto.imapc;
6.   (void)data;",Not Useful,0
/*Cleanup the SASL module*/,"-2.   Curl_pp_disconnect(&imapc->pp);
-1.   Curl_dyn_free(&imapc->dyn);

/*Cleanup the SASL module*/

1.   Curl_sasl_cleanup(conn, imapc->sasl.authused);",Not Useful,1
/*Make sure size is unknown at this point*/,"-10.  * The input argument is already checked for validity.
-9.  *
-8.  * Performs all commands done before a regular transfer between a local and a
-7.  * remote host.
-6.  */
-5. static CURLcode imap_regular_transfer(struct Curl_easy *data,
-4.                                       bool *dophase_done)
-3. {
-2.   CURLcode result = CURLE_OK;
-1.   bool connected = FALSE;

/*Make sure size is unknown at this point*/

1.   data->req.size = -1;",Not Useful,0
/*Carry out the perform*/,"-4.   Curl_pgrsSetUploadCounter(data, 0);
-3.   Curl_pgrsSetDownloadCounter(data, 0);
-2.   Curl_pgrsSetUploadSize(data, -1);
-1.   Curl_pgrsSetDownloadSize(data, -1);

/*Carry out the perform*/

1.   result = imap_perform(data, &connected, dophase_done);",Not Useful,1
/*Initialise the IMAP layer*/,"-7.   if(!result && *dophase_done)
-6.     result = imap_dophase_done(data, connected);
-5.   return result;
-4. }
-3. static CURLcode imap_setup_connection(struct Curl_easy *data,
-2.                                       struct connectdata *conn)
-1. {

/*Initialise the IMAP layer*/

1.   CURLcode result = imap_init(data);
2.   if(result)
3.     return result;",Not Useful,0
/*Clear the TLS upgraded flag*/,"-3.   CURLcode result = imap_init(data);
-2.   if(result)
-1.     return result;

/*Clear the TLS upgraded flag*/

1.   conn->bits.tls_upgraded = FALSE;
2.   return CURLE_OK;
3. }
4. /***********************************************************************
5.  *
6.  * imap_sendf()
7.  *
8.  * Sends the formatted string as an IMAP command to the server.
9.  *
10.  * Designed to never block.",Not Useful,1
"/***********************************************************************
 *
 * imap_sendf()
 *
 * Sends the formatted string as an IMAP command to the server.
 *
 * Designed to never block.*/","-3.   conn->bits.tls_upgraded = FALSE;
-2.   return CURLE_OK;
-1. }
/***********************************************************************
 *
 * imap_sendf()
 *
 * Sends the formatted string as an IMAP command to the server.
 *
 * Designed to never block.

/***********************************************************************
 *
 * imap_sendf()
 *
 * Sends the formatted string as an IMAP command to the server.
 *
 * Designed to never block.*/

1.  */
2. static CURLcode imap_sendf(struct Curl_easy *data, const char *fmt, ...)
3. {
4.   CURLcode result = CURLE_OK;
5.   struct imap_conn *imapc = &data->conn->proto.imapc;
6.   DEBUGASSERT(fmt);",Not Useful,0
/*!checksrc! disable PARENBRACE 1*/,"-10.  * imap_atom()
-9.  *
-8.  * Checks the input string for characters that need escaping and returns an
-7.  * atom ready for sending to the server.
-6.  *
-5.  * The returned string needs to be freed.
-4.  *
-3.  */
-2. static char *imap_atom(const char *str, bool escape_only)
-1. {

/*!checksrc! disable PARENBRACE 1*/

1.   const char atom_specials[] = ""(){ %*]"";
2.   const char *p1;
3.   char *p2;
4.   size_t backsp_count = 0;
5.   size_t quote_count = 0;
6.   bool others_exists = FALSE;
7.   size_t newlen = 0;
8.   char *newstr = NULL;
9.   if(!str)
10.     return NULL;",Not Useful,1
"/*Look for ""atom-specials"", counting the backslash and quote characters as
     these will need escaping*/","-10.   const char atom_specials[] = ""(){ %*]"";
-9.   const char *p1;
-8.   char *p2;
-7.   size_t backsp_count = 0;
-6.   size_t quote_count = 0;
-5.   bool others_exists = FALSE;
-4.   size_t newlen = 0;
-3.   char *newstr = NULL;
-2.   if(!str)
-1.     return NULL;

/*Look for ""atom-specials"", counting the backslash and quote characters as
     these will need escaping*/

1.   p1 = str;
2.   while(*p1) {
3.     if(*p1 == '\\')
4.       backsp_count++;
5.     else if(*p1 == '""')
6.       quote_count++;
7.     else if(!escape_only) {
8.       const char *p3 = atom_specials;
9.       while(*p3 && !others_exists) {
10.         if(*p1 == *p3)",Not Useful,1
/*Terminate the string*/,"-10.   p1 = str;
-9.   while(*p1) {
-8.     if(*p1 == '\\' || *p1 == '""') {
-7.       *p2 = '\\';
-6.       p2++;
-5.     }
-4.    *p2 = *p1;
-3.     p1++;
-2.     p2++;
-1.   }

/*Terminate the string*/

1.   newstr[newlen] = '\0';
2.   return newstr;
3. }",Not Useful,1
"/***********************************************************************
 *
 * imap_parse_url_options()
 *
 * Parse the URL login options.*/","-5.       return true;
-4.     default:
-3.       return false;
-2.   }
-1. }
/***********************************************************************
 *
 * imap_parse_url_options()
 *
 * Parse the URL login options.

/***********************************************************************
 *
 * imap_parse_url_options()
 *
 * Parse the URL login options.*/

1.  */
2. static CURLcode imap_parse_url_options(struct connectdata *conn)
3. {
4.   CURLcode result = CURLE_OK;
5.   struct imap_conn *imapc = &conn->proto.imapc;
6.   const char *ptr = conn->options;
7.   while(!result && ptr && *ptr) {
8.     const char *key = ptr;
9.     const char *value;
10.     while(*ptr && *ptr != '=')",Not Useful,1
"/***********************************************************************
 *
 * imap_parse_url_path()
 *
 * Parse the URL path into separate path components.
 **/","
/***************************************************************************
 *                                  _   _ ____  _



/***********************************************************************
 *
 * imap_parse_url_path()
 *
 * Parse the URL path into separate path components.
 **/

1.  *  Project                     ___| | | |  _ \| |
2.  *                             / __| | | | |_) | |
3.  *                            | (__| |_| |  _ <| |___
4.  *                             \___|\___/|_| \_\_____|
5.  *
6.  * Copyright (C) 1998 - 2022, Daniel Stenberg, <daniel@haxx.se>, et al.
7.  *
8.  * This software is licensed as described in the file COPYING, which
9.  * you should have received as part of this distribution. The terms",Not Useful,1
/*The imap struct is already initialised in imap_connect()*/,"-2. static CURLcode imap_parse_url_path(struct Curl_easy *data)
-1. {

/*The imap struct is already initialised in imap_connect()*/

1.   CURLcode result = CURLE_OK;
2.   struct IMAP *imap = data->req.p.imap;",Not Useful,1
"/*There can be any number of parameters in the form "";NAME=VALUE""*/","-10.     const char *end = ptr;
-9.     if(end > begin && end[-1] == '/')
-8.       end--;
-7.     result = Curl_urldecode(begin, end - begin, &imap->mailbox, NULL,
-6.                             REJECT_CTRL);
-5.     if(result)
-4.       return result;
-3.   }
-2.   else
-1.     imap->mailbox = NULL;

/*There can be any number of parameters in the form "";NAME=VALUE""*/

1.   while(*ptr == ';') {
2.     char *name;
3.     char *value;
4.     size_t valuelen;",Not Useful,0
/*Decode the name parameter*/,"-5.     begin = ++ptr;
-4.     while(*ptr && *ptr != '=')
-3.       ptr++;
-2.     if(!*ptr)
-1.       return CURLE_URL_MALFORMAT;

/*Decode the name parameter*/

1.     result = Curl_urldecode(begin, ptr - begin, &name, NULL,
2.                             REJECT_CTRL);
3.     if(result)
4.       return result;",Not Useful,1
/*Decode the value parameter*/,"-3.     begin = ++ptr;
-2.     while(imap_is_bchar(*ptr))
-1.       ptr++;

/*Decode the value parameter*/

1.     result = Curl_urldecode(begin, ptr - begin, &value, &valuelen,
2.                             REJECT_CTRL);
3.     if(result) {
4.       free(name);
5.       return result;
6.     }
7.     DEBUGF(infof(data, ""IMAP URL parameter '%s' = '%s'"", name, value));",Not Useful,1
"/*Get the query parameter, URL decoded*/","-1.   if(imap->mailbox && !imap->uid && !imap->mindex) {

/*Get the query parameter, URL decoded*/

1.     (void)curl_url_get(data->state.uh, CURLUPART_QUERY, &imap->query,
2.                        CURLU_URLDECODE);
3.   }",Not Useful,1
"/***********************************************************************
 *
 * imap_parse_custom_request()
 *
 * Parse the custom request.*/","-4.   if(*ptr)
-3.     return CURLE_URL_MALFORMAT;
-2.   return CURLE_OK;
-1. }
/***********************************************************************
 *
 * imap_parse_custom_request()
 *
 * Parse the custom request.

/***********************************************************************
 *
 * imap_parse_custom_request()
 *
 * Parse the custom request.*/

1.  */
2. static CURLcode imap_parse_custom_request(struct Curl_easy *data)
3. {
4.   CURLcode result = CURLE_OK;
5.   struct IMAP *imap = data->req.p.imap;
6.   const char *custom = data->set.str[STRING_CUSTOMREQUEST];
7.   if(custom) {",Not Useful,1
/*URL decode the custom request*/,"-10.  * imap_parse_custom_request()
-9.  *
-8.  * Parse the custom request.
-7.  */
-6. static CURLcode imap_parse_custom_request(struct Curl_easy *data)
-5. {
-4.   CURLcode result = CURLE_OK;
-3.   struct IMAP *imap = data->req.p.imap;
-2.   const char *custom = data->set.str[STRING_CUSTOMREQUEST];
-1.   if(custom) {

/*URL decode the custom request*/

1.     result = Curl_urldecode(custom, 0, &imap->custom, NULL, REJECT_CTRL);",Not Useful,1
/*CURL_DISABLE_IMAP*/,"-10.  * RFC4616 PLAIN authentication
-9.  * RFC4752 The Kerberos V5 (""GSSAPI"") SASL Mechanism
-8.  * RFC4959 IMAP Extension for SASL Initial Client Response
-7.  * RFC5092 IMAP URL Scheme
-6.  * RFC6749 OAuth 2.0 Authorization Framework
-5.  * RFC8314 Use of TLS for Email Submission and Access
-4.  * Draft   LOGIN SASL Mechanism <draft-murchison-sasl-login-00.txt>
-3.  *
-2.  ***************************************************************************/
-1. #include ""curl_setup.h""
#ifndef CURL_DISABLE_IMAP

/*CURL_DISABLE_IMAP*/

1. #ifdef HAVE_NETINET_IN_H
2. #include <netinet/in.h>
3. #endif
4. #ifdef HAVE_ARPA_INET_H
5. #include <arpa/inet.h>
6. #endif
7. #ifdef HAVE_UTSNAME_H
8. #include <sys/utsname.h>
9. #endif
10. #ifdef HAVE_NETDB_H",Not Useful,1
/*normalize pattern and hostname by stripping off trailing dots*/,"-10.  *
-9.  * Return TRUE on a match. FALSE if not.
-8.  */
-7. static bool hostmatch(const char *hostname,
-6.                       size_t hostlen,
-5.                       const char *pattern,
-4.                       size_t patternlen)
-3. {
-2.   const char *pattern_label_end, *wildcard, *hostname_label_end;
-1.   size_t prefixlen, suffixlen;

/*normalize pattern and hostname by stripping off trailing dots*/

1.   DEBUGASSERT(patternlen);
2.   if(hostname[hostlen-1]=='.')
3.     hostlen--;
4.   if(pattern[patternlen-1]=='.')
5.     patternlen--;
6.   wildcard = memchr(pattern, '*', patternlen);
7.   if(!wildcard)
8.     return pmatch(hostname, hostlen, pattern, patternlen);",Not Useful,1
/*flush the stream to send off what we got earlier*/,"-4.   if(per->config->headerfile && heads->stream) {
-3.     size_t rc = fwrite(ptr, size, nmemb, heads->stream);
-2.     if(rc != cb)
-1.       return rc;

/*flush the stream to send off what we got earlier*/

1.     (void)fflush(heads->stream);
2.   }",Not Useful,1
